"","X..contig","classification","reason","lineage","lineage.scores","superkingdom","phylum","class","order","family","genus","species"
"38485","MG1058_m54329U_210919_100542_21627129_ccs","taxid assigned","based on 5/6 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.74;0.74;0.74;0.74","Bacteria: 0.74","Candidatus Marinimicrobia: 0.74",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.74"
"38492","MG1058_m54329U_210919_100542_21627617_ccs","taxid assigned","based on 45/47 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;0.96;0.88;0.88;0.77","Bacteria: 0.96","Candidatus Marinimicrobia: 0.88",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.77"
"38494","MG1058_m54329U_210919_100542_21627754_ccs","taxid assigned","based on 2/9 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;1.00;1.00;0.81","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.81"
"38513","MG1058_m54329U_210919_100542_2163380_ccs","taxid assigned","based on 23/26 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.80;0.75;0.75;0.75","Bacteria: 0.80","Candidatus Marinimicrobia: 0.75",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.75"
"38541","MG1058_m54329U_210919_100542_2165243_ccs","taxid assigned","based on 6/8 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.76;0.76;0.76","Bacteria: 1.00","Candidatus Marinimicrobia: 0.76",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.76"
"38551","MG1058_m54329U_210919_100542_21692889_ccs","taxid assigned","based on 9/9 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;1.00;1.00;0.76","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.76"
"38562","MG1058_m54329U_210919_100542_21694212_ccs","taxid assigned","based on 6/9 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.94;0.80;0.80;0.57","Bacteria: 0.94","Candidatus Marinimicrobia: 0.80",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.57"
"38563","MG1058_m54329U_210919_100542_21694317_ccs","taxid assigned","based on 7/7 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.89;0.89;0.89;0.89","Bacteria: 0.89","Candidatus Marinimicrobia: 0.89",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.89"
"38577","MG1058_m54329U_210919_100542_21758170_ccs","taxid assigned","based on 14/15 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"38585","MG1058_m54329U_210919_100542_21759066_ccs","taxid assigned","based on 10/11 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.65;0.54;0.54","Bacteria: 1.00","Candidatus Marinimicrobia: 0.54",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.54"
"38588","MG1058_m54329U_210919_100542_21759181_ccs","taxid assigned","based on 9/10 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.83;0.83;0.83","Bacteria: 1.00","Candidatus Marinimicrobia: 0.83",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.83"
"38589","MG1058_m54329U_210919_100542_21759239_ccs","taxid assigned","based on 7/10 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.89;0.89;0.53","Bacteria: 1.00","Candidatus Marinimicrobia: 0.89",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.53"
"38610","MG1058_m54329U_210919_100542_21824614_ccs","taxid assigned","based on 14/14 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.72;0.67;0.67;0.67","Bacteria: 0.72","Candidatus Marinimicrobia: 0.67",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.67"
"38627","MG1058_m54329U_210919_100542_21889375_ccs","taxid assigned","based on 11/12 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.69;0.69;0.69","Bacteria: 1.00","Candidatus Marinimicrobia: 0.69",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.69"
"38656","MG1058_m54329U_210919_100542_21954707_ccs","taxid assigned","based on 9/9 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.98;0.98;0.98","Bacteria: 1.00","Candidatus Marinimicrobia: 0.98",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.98"
"38698","MG1058_m54329U_210919_100542_22021770_ccs","taxid assigned","based on 5/5 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;1.00;1.00;0.67","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.67"
"38701","MG1058_m54329U_210919_100542_22022095_ccs","taxid assigned","based on 6/6 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.61;0.61;0.61","Bacteria: 1.00","Candidatus Marinimicrobia: 0.61",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.61"
"38707","MG1058_m54329U_210919_100542_22022736_ccs","taxid assigned","based on 12/12 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;0.53","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.53"
"38708","MG1058_m54329U_210919_100542_22022930_ccs","taxid assigned","based on 18/18 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.90;0.90;0.90","Bacteria: 1.00","Candidatus Marinimicrobia: 0.90",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.90"
"38728","MG1058_m54329U_210919_100542_22087610_ccs","taxid assigned","based on 12/12 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"38731","MG1058_m54329U_210919_100542_22087972_ccs","taxid assigned","based on 1/3 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"38739","MG1058_m54329U_210919_100542_22151607_ccs","taxid assigned","based on 7/11 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.83;0.72;0.72;0.72","Bacteria: 0.83","Candidatus Marinimicrobia: 0.72",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.72"
"38744","MG1058_m54329U_210919_100542_22151816_ccs","taxid assigned","based on 10/10 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;0.94","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.94"
"38781","MG1058_m54329U_210919_100542_22218497_ccs","taxid assigned","based on 14/15 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.70;0.66;0.66","Bacteria: 1.00","Candidatus Marinimicrobia: 0.66",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.66"
"38816","MG1058_m54329U_210919_100542_22284058_ccs","taxid assigned","based on 12/13 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 1.00"
"38840","MG1058_m54329U_210919_100542_2229451_ccs","taxid assigned","based on 20/21 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;0.92;0.56","Bacteria: 1.00","Candidatus Marinimicrobia: 0.92",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.56"
"38844","MG1058_m54329U_210919_100542_2229862_ccs","taxid assigned","based on 26/26 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;0.99;0.97;0.97;0.81","Bacteria: 0.99","Candidatus Marinimicrobia: 0.97",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.81"
"38851","MG1058_m54329U_210919_100542_2230682_ccs","taxid assigned","based on 10/11 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"38853","MG1058_m54329U_210919_100542_2230919_ccs","taxid assigned","based on 11/11 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.98;0.98;0.98;0.98","Bacteria: 0.98","Candidatus Marinimicrobia: 0.98",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.98"
"38862","MG1058_m54329U_210919_100542_22348820_ccs","taxid assigned","based on 9/9 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"38869","MG1058_m54329U_210919_100542_22349881_ccs","taxid assigned","based on 1/2 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"38870","MG1058_m54329U_210919_100542_22349968_ccs","taxid assigned","based on 22/23 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"38893","MG1058_m54329U_210919_100542_22415155_ccs","taxid assigned","based on 14/14 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.82;0.82;0.82","Bacteria: 1.00","Candidatus Marinimicrobia: 0.82",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.82"
"38894","MG1058_m54329U_210919_100542_22415188_ccs","taxid assigned","based on 10/11 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"38899","MG1058_m54329U_210919_100542_22416019_ccs","taxid assigned","based on 17/17 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.66;0.60;0.60","Bacteria: 1.00","Candidatus Marinimicrobia: 0.60",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.60"
"38922","MG1058_m54329U_210919_100542_22481727_ccs","taxid assigned","based on 12/12 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.90;0.82;0.54","Bacteria: 1.00","Candidatus Marinimicrobia: 0.82",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.54"
"38933","MG1058_m54329U_210919_100542_22545080_ccs","taxid assigned","based on 9/11 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"38937","MG1058_m54329U_210919_100542_22545361_ccs","taxid assigned","based on 4/4 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.55;0.55;0.55","Bacteria: 1.00","Candidatus Marinimicrobia: 0.55",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.55"
"38940","MG1058_m54329U_210919_100542_22545530_ccs","taxid assigned","based on 7/7 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"38955","MG1058_m54329U_210919_100542_22546875_ccs","taxid assigned","based on 18/20 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.97;0.69;0.69;0.62","Bacteria: 0.97","Candidatus Marinimicrobia: 0.69",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.62"
"38958","MG1058_m54329U_210919_100542_22547143_ccs","taxid assigned","based on 21/21 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.97;0.97;0.97","Bacteria: 1.00","Candidatus Marinimicrobia: 0.97",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.97"
"38962","MG1058_m54329U_210919_100542_22610031_ccs","taxid assigned","based on 11/14 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;1.00;0.96;0.93","Bacteria: 1.00","Candidatus Marinimicrobia: 0.96",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.93"
"38965","MG1058_m54329U_210919_100542_22610153_ccs","taxid assigned","based on 6/7 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.94;0.89;0.64","Bacteria: 1.00","Candidatus Marinimicrobia: 0.89",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.64"
"38971","MG1058_m54329U_210919_100542_22610525_ccs","taxid assigned","based on 9/9 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.94;0.94;0.63","Bacteria: 1.00","Candidatus Marinimicrobia: 0.94",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.63"
"38975","MG1058_m54329U_210919_100542_22611080_ccs","taxid assigned","based on 7/8 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;1.00;1.00;0.63","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.63"
"38986","MG1058_m54329U_210919_100542_22612348_ccs","taxid assigned","based on 24/24 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.90;0.84;0.64","Bacteria: 1.00","Candidatus Marinimicrobia: 0.84",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.64"
"39051","MG1058_m54329U_210919_100542_22808124_ccs","taxid assigned","based on 15/15 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.70;0.68;0.68","Bacteria: 1.00","Candidatus Marinimicrobia: 0.68",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.68"
"39058","MG1058_m54329U_210919_100542_22808999_ccs","taxid assigned","based on 5/5 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.55;0.55;0.55","Bacteria: 1.00","Candidatus Marinimicrobia: 0.55",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.55"
"39094","MG1058_m54329U_210919_100542_22874873_ccs","taxid assigned","based on 13/13 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.68;0.59;0.59;0.52","Bacteria: 0.68","Candidatus Marinimicrobia: 0.59",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.52"
"39096","MG1058_m54329U_210919_100542_22937740_ccs","taxid assigned","based on 13/13 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;0.76;0.76","Bacteria: 1.00","Candidatus Marinimicrobia: 0.76",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.76"
"39097","MG1058_m54329U_210919_100542_22937746_ccs","taxid assigned","based on 9/9 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.98;0.80;0.73","Bacteria: 1.00","Candidatus Marinimicrobia: 0.80",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.73"
"39114","MG1058_m54329U_210919_100542_22939192_ccs","taxid assigned","based on 10/10 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.81;0.66;0.66;0.66","Bacteria: 0.81","Candidatus Marinimicrobia: 0.66",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.66"
"39124","MG1058_m54329U_210919_100542_22939758_ccs","taxid assigned","based on 11/12 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;0.98;0.91;0.91;0.56","Bacteria: 0.98","Candidatus Marinimicrobia: 0.91",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.56"
"39163","MG1058_m54329U_210919_100542_2296437_ccs","taxid assigned","based on 9/9 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.87;0.87;0.87","Bacteria: 1.00","Candidatus Marinimicrobia: 0.87",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.87"
"39164","MG1058_m54329U_210919_100542_2296471_ccs","taxid assigned","based on 16/17 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;0.96;0.96;0.96;0.75","Bacteria: 0.96","Candidatus Marinimicrobia: 0.96",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.75"
"39166","MG1058_m54329U_210919_100542_2296561_ccs","taxid assigned","based on 8/8 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.98;0.98;0.85","Bacteria: 1.00","Candidatus Marinimicrobia: 0.98",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.85"
"39170","MG1058_m54329U_210919_100542_23003753_ccs","taxid assigned","based on 14/17 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.93;0.93;0.93;0.79","Bacteria: 0.93","Candidatus Marinimicrobia: 0.93",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.79"
"39171","MG1058_m54329U_210919_100542_23003878_ccs","taxid assigned","based on 10/10 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.92;0.83;0.83;0.62","Bacteria: 0.92","Candidatus Marinimicrobia: 0.83",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.62"
"39175","MG1058_m54329U_210919_100542_23004368_ccs","taxid assigned","based on 8/8 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"39195","MG1058_m54329U_210919_100542_23069048_ccs","taxid assigned","based on 4/10 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"39215","MG1058_m54329U_210919_100542_23071047_ccs","taxid assigned","based on 15/17 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.66;0.66;0.66","Bacteria: 1.00","Candidatus Marinimicrobia: 0.66",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.66"
"39223","MG1058_m54329U_210919_100542_23134570_ccs","taxid assigned","based on 12/12 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.99;0.99;0.99","Bacteria: 1.00","Candidatus Marinimicrobia: 0.99",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.99"
"39224","MG1058_m54329U_210919_100542_23134659_ccs","taxid assigned","based on 10/10 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;1.00;1.00;0.61","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.61"
"39230","MG1058_m54329U_210919_100542_23135626_ccs","taxid assigned","based on 10/10 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 1.00"
"39239","MG1058_m54329U_210919_100542_23136319_ccs","taxid assigned","based on 14/17 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;0.84;0.75;0.75;0.60","Bacteria: 0.84","Candidatus Marinimicrobia: 0.75",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.60"
"39249","MG1058_m54329U_210919_100542_23200628_ccs","taxid assigned","based on 4/4 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"39252","MG1058_m54329U_210919_100542_23201080_ccs","taxid assigned","based on 6/12 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"39259","MG1058_m54329U_210919_100542_23201956_ccs","taxid assigned","based on 13/13 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.97;0.97;0.83","Bacteria: 1.00","Candidatus Marinimicrobia: 0.97",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.83"
"39268","MG1058_m54329U_210919_100542_23265361_ccs","taxid assigned","based on 24/26 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.98;0.98;0.90","Bacteria: 1.00","Candidatus Marinimicrobia: 0.98",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.90"
"39276","MG1058_m54329U_210919_100542_23265960_ccs","taxid assigned","based on 5/5 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.97;0.97;0.85","Bacteria: 1.00","Candidatus Marinimicrobia: 0.97",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.85"
"39283","MG1058_m54329U_210919_100542_23266424_ccs","taxid assigned","based on 18/21 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"39284","MG1058_m54329U_210919_100542_23266602_ccs","taxid assigned","based on 8/9 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.83;0.83;0.83","Bacteria: 1.00","Candidatus Marinimicrobia: 0.83",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.83"
"39295","MG1058_m54329U_210919_100542_23268131_ccs","taxid assigned","based on 2/2 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 1.00"
"39322","MG1058_m54329U_210919_100542_2335_ccs","taxid assigned","based on 23/26 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.91;0.78;0.72;0.72","Bacteria: 0.91","Candidatus Marinimicrobia: 0.72",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.72"
"39323","MG1058_m54329U_210919_100542_23396657_ccs","taxid assigned","based on 17/17 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.97;0.97;0.83","Bacteria: 1.00","Candidatus Marinimicrobia: 0.97",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.83"
"39327","MG1058_m54329U_210919_100542_23397472_ccs","taxid assigned","based on 8/8 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.94;0.94;0.94;0.94","Bacteria: 0.94","Candidatus Marinimicrobia: 0.94",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.94"
"39330","MG1058_m54329U_210919_100542_23398055_ccs","taxid assigned","based on 7/8 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;1.00;1.00;0.80","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.80"
"39336","MG1058_m54329U_210919_100542_23398769_ccs","taxid assigned","based on 14/14 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"39340","MG1058_m54329U_210919_100542_23399157_ccs","taxid assigned","based on 9/9 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.96;0.96;0.91","Bacteria: 1.00","Candidatus Marinimicrobia: 0.96",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.91"
"39343","MG1058_m54329U_210919_100542_23462087_ccs","taxid assigned","based on 16/16 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"39347","MG1058_m54329U_210919_100542_23462365_ccs","taxid assigned","based on 8/8 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;1.00;1.00;0.60","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.60"
"39363","MG1058_m54329U_210919_100542_23464218_ccs","taxid assigned","based on 15/16 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"39372","MG1058_m54329U_210919_100542_23464737_ccs","taxid assigned","based on 11/12 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"39389","MG1058_m54329U_210919_100542_23529064_ccs","taxid assigned","based on 17/17 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"39415","MG1058_m54329U_210919_100542_23594362_ccs","taxid assigned","based on 19/24 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.69;0.69;0.58","Bacteria: 1.00","Candidatus Marinimicrobia: 0.69",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.58"
"39422","MG1058_m54329U_210919_100542_23595178_ccs","taxid assigned","based on 5/6 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;0.60","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.60"
"39443","MG1058_m54329U_210919_100542_2359999_ccs","taxid assigned","based on 16/16 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.97;0.97;0.97","Bacteria: 1.00","Candidatus Marinimicrobia: 0.97",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.97"
"39453","MG1058_m54329U_210919_100542_2360834_ccs","taxid assigned","based on 9/14 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;0.81","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.81"
