"","gene_callers_id","COG20_FUNCTION","COG20_CATEGORY","COG20_PATHWAY","plasmid"
"565",157,"Acyl-CoA thioesterase PaaI, contains HGG motif (PaaI) (PDB:1PSU)","Secondary metabolites biosynthesis, transport and catabolism",NA,"plasmid1_sulf2"
"566",158,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid1_sulf2"
"567",159,"Uncharacterized OB-fold protein, contains Zn-ribbon domain (PDB:3IRB)","General function prediction only",NA,"plasmid1_sulf2"
"568",160,"Acetyl-CoA acetyltransferase (PaaJ) (PDB:1AFW)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid1_sulf2"
"569",162,"Phenylacetate-coenzyme A ligase PaaK, adenylate-forming domain family (PaaK) (PDB:2Y4O)","Coenzyme transport and metabolism",NA,"plasmid1_sulf2"
"570",163,"Enoyl-CoA hydratase/carnithine racemase (CaiD) (PDB:1DCI)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid1_sulf2"
"571",164,"Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid1_sulf2"
"572",165,"Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid1_sulf2"
"573",166,"Acyl-CoA dehydratase PaaZ (MaoC) (PDB:5ZY8)","Lipid transport and metabolism",NA,"plasmid1_sulf2"
"574",167,"Transglutaminase-like enzyme, putative cysteine protease (YebA) (PDB:3ISR)","Posttranslational modification, protein turnover, chaperones",NA,"plasmid1_sulf2"
"575",168,"Crotonobetainyl-CoA:carnitine CoA-transferase CaiB and related acyl-CoA transferases (CaiB) (PDB:1P5H)","Lipid transport and metabolism",NA,"plasmid1_sulf2"
"576",169,"Acyl-CoA dehydratase PaaZ (MaoC) (PDB:5ZY8)","Lipid transport and metabolism",NA,"plasmid1_sulf2"
"577",170,"Acetyl-CoA acetyltransferase (PaaJ) (PDB:1AFW)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid1_sulf2"
"578",171,"Uncharacterized OB-fold protein, contains Zn-ribbon domain (PDB:3IRB)","General function prediction only",NA,"plasmid1_sulf2"
"579",172,"Crotonobetainyl-CoA:carnitine CoA-transferase CaiB and related acyl-CoA transferases (CaiB) (PDB:1P5H)","Lipid transport and metabolism",NA,"plasmid1_sulf2"
"580",173,"Crotonobetainyl-CoA:carnitine CoA-transferase CaiB and related acyl-CoA transferases (CaiB) (PDB:1P5H)","Lipid transport and metabolism",NA,"plasmid1_sulf2"
"581",174,"Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid1_sulf2"
"582",176,"Enoyl-CoA hydratase/carnithine racemase (CaiD) (PDB:1DCI)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid1_sulf2"
"583",177,"Enoyl-CoA hydratase/carnithine racemase (CaiD) (PDB:1DCI)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid1_sulf2"
"584",178,"ABC-type branched-chain amino acid transport system, periplasmic component (LivK) (PDB:1USG)","Amino acid transport and metabolism",NA,"plasmid1_sulf2"
"585",179,"ABC-type branched-chain amino acid transport system, periplasmic component (LivK) (PDB:1USG)","Amino acid transport and metabolism",NA,"plasmid1_sulf2"
"586",180,"ABC-type branched-chain amino acid transport system, ATPase component LivF (LivF) (PDB:1JI0) (PUBMED:26527648;32250026)","Amino acid transport and metabolism",NA,"plasmid1_sulf2"
"587",181,"ABC-type branched-chain amino acid transport system, permease component (LivM)","Amino acid transport and metabolism",NA,"plasmid1_sulf2"
"588",182,"Branched-chain amino acid ABC-type transport system, permease component (LivH)","Amino acid transport and metabolism",NA,"plasmid1_sulf2"
"589",183,"Long-chain acyl-CoA synthetase (AMP-forming) (FAA1)","Lipid transport and metabolism",NA,"plasmid1_sulf2"
"590",184,"ABC-type branched-chain amino acid transport system, ATPase component LivG (LivG) (PDB:1G9X) (PUBMED:29514851)","Amino acid transport and metabolism",NA,"plasmid1_sulf2"
"591",185,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid1_sulf2"
"592",186,"Crotonobetainyl-CoA:carnitine CoA-transferase CaiB and related acyl-CoA transferases (CaiB) (PDB:1P5H)","Lipid transport and metabolism",NA,"plasmid1_sulf2"
"593",187,"Aldehyde, CO or xanthine dehydrogenase, Mo-binding subunit (CoxL) (PDB:1DGJ) (PUBMED:10095793)","Energy production and conversion","Non-phosphorylated Entner-Doudoroff pathway","plasmid1_sulf2"
"594",188,"Aldehyde, CO, or xanthine dehydrogenase, Fe-S subunit, CoxS/CutS family (CutS) (PDB:1FFU) (PUBMED:21175741)","Energy production and conversion","Non-phosphorylated Entner-Doudoroff pathway","plasmid1_sulf2"
"595",189,"Glutathione S-transferase (GstA) (PDB:1A0F)","Posttranslational modification, protein turnover, chaperones",NA,"plasmid1_sulf2"
"596",190,"DNA-binding transcriptional regulator, MarR family (MarR) (PDB:1JGS)","Transcription",NA,"plasmid1_sulf2"
"597",191,"Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II (GloB) (PDB:1QH3) (PUBMED:25670698)","General function prediction only",NA,"plasmid1_sulf2"
"598",192,"DNA-binding transcriptional regulator, MarR family (MarR) (PDB:1JGS)","Transcription",NA,"plasmid1_sulf2"
"599",193,"Anti-sigma factor ChrR, cupin superfamily (ChrR) (PDB:2Q1Z)","Signal transduction mechanisms",NA,"plasmid1_sulf2"
"600",194,"Multidrug efflux pump subunit AcrB (AcrB) (PDB:1IWG)","Defense mechanisms",NA,"plasmid1_sulf2"
"601",195,"Multidrug efflux pump subunit AcrA (membrane-fusion protein) (AcrA) (PDB:1T5E)","Cell wall/membrane/envelope biogenesis!!!Defense mechanisms",NA,"plasmid1_sulf2"
"602",196,"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)","Transcription",NA,"plasmid1_sulf2"
"603",197,"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)","Transcription",NA,"plasmid1_sulf2"
"604",198,"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)","Transcription",NA,"plasmid1_sulf2"
"605",199,"DNA-binding transcriptional regulator, HxlR family (HxlR) (PDB:1YYV)","Transcription",NA,"plasmid1_sulf2"
"606",200,"Aromatic ring-opening dioxygenase, catalytic subunit, LigB family (LigB) (PDB:2PW6) (PUBMED:23258706)","Secondary metabolites biosynthesis, transport and catabolism",NA,"plasmid1_sulf2"
"607",202,"Predicted esterase (YpfH)","General function prediction only",NA,"plasmid1_sulf2"
"608",203,"Nucleotide-binding universal stress protein,  UspA family (UspA) (PDB:1JMV)","Signal transduction mechanisms",NA,"plasmid1_sulf2"
"609",204,"DNA-binding transcriptional regulator, MarR family (MarR) (PDB:1JGS)","Transcription",NA,"plasmid1_sulf2"
"610",205,"Multidrug resistance efflux pump EmrA (EmrA) (PDB:4TKO)","Defense mechanisms",NA,"plasmid1_sulf2"
"611",206,"Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS)","Carbohydrate transport and metabolism",NA,"plasmid1_sulf2"
"612",207,"Transposase (or an inactivated derivative), DDE domain (Rve)","Mobilome: prophages, transposons",NA,"plasmid1_sulf2"
"613",208,"Multicopper oxidase with three cupredoxin domains (includes cell division protein FtsP and spore coat protein CotA) (SufI) (PDB:2YXV)","Cell cycle control, cell division, chromosome partitioning!!!Inorganic ion transport and metabolism!!!Cell wall/membrane/envelope biogenesis",NA,"plasmid1_sulf2"
"614",210,"Transposase and inactivated derivatives, TnpA family","Mobilome: prophages, transposons",NA,"plasmid1_sulf2"
"615",213,"DNA-directed RNA polymerase specialized sigma subunit, sigma24 family (RpoE) (PDB:2Q1Z)","Transcription","RNA polymerase","plasmid1_sulf2"
"616",214,"Transmembrane transcriptional regulator RsiW (anti-sigma-W factor) (RsiW)","Transcription",NA,"plasmid1_sulf2"
"617",215,"Accessory colonization factor AcfC, contains ABC-type periplasmic domain (AcfC) (PDB:4JB7)","Cell wall/membrane/envelope biogenesis",NA,"plasmid1_sulf2"
"618",216,"Molybdopterin-dependent catalytic subunit of periplasmic DMSO/TMAO and protein-methionine-sulfoxide reductases (MsrP) (PDB:1OGP) (PUBMED:26641313;32750406)","Energy production and conversion",NA,"plasmid1_sulf2"
"619",217,"Cytochrome c2 (Cyc7) (PDB:1YEA)","Energy production and conversion",NA,"plasmid1_sulf2"
"620",219,"DNA-directed RNA polymerase specialized sigma subunit, sigma24 family (RpoE) (PDB:2Q1Z)","Transcription","RNA polymerase","plasmid1_sulf2"
"621",220,"DNA repair exonuclease SbcCD ATPase subunit (SbcC) (PDB:3QKR)","Replication, recombination and repair",NA,"plasmid1_sulf2"
"622",222,"Transposase","Mobilome: prophages, transposons",NA,"plasmid1_sulf2"
"623",225,"Chromosome segregation and condensation protein ScpB (ScpB) (PDB:1T6S)","Transcription",NA,"plasmid1_sulf2"
"624",1,"ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ (ParA) (PDB:6NOO)","Cell cycle control, cell division, chromosome partitioning!!!Cell motility",NA,"plasmid2_sulf2"
"625",2,"Chromosome segregation protein Spo0J, contains ParB-like nuclease domain (Spo0J) (PDB:1R71)","Cell cycle control, cell division, chromosome partitioning",NA,"plasmid2_sulf2"
"626",3,"TRAP-type mannitol/chloroaromatic compound transport system, periplasmic component (FcbT1) (PDB:2HZK)","Secondary metabolites biosynthesis, transport and catabolism",NA,"plasmid2_sulf2"
"627",4,"TRAP-type mannitol/chloroaromatic compound transport system, large permease component (FcbT3)","Secondary metabolites biosynthesis, transport and catabolism",NA,"plasmid2_sulf2"
"628",5,"TRAP-type mannitol/chloroaromatic compound transport system, small permease component (FcbT2)","Secondary metabolites biosynthesis, transport and catabolism",NA,"plasmid2_sulf2"
"629",7,"Cytochrome c553 (CytC553) (PDB:6Q2U)","Energy production and conversion",NA,"plasmid2_sulf2"
"630",8,"Cytochrome c oxidase assembly protein CtaG (CtaG) (PUBMED:14766920)","Energy production and conversion!!!Posttranslational modification, protein turnover, chaperones",NA,"plasmid2_sulf2"
"631",10,"Heme/copper-type cytochrome/quinol oxidase, subunit 1 (CyoB) (PDB:1AR1)!!!Heme/copper-type cytochrome/quinol oxidase, subunit 3 (CyoC) (PDB:1QLE)","Energy production and conversion!!!Energy production and conversion",NA,"plasmid2_sulf2"
"632",11,"Heme/copper-type cytochrome/quinol oxidase, subunit 2 (CyoA) (PDB:1CYW)!!!Cytochrome c1 (CYT1)","Energy production and conversion!!!Energy production and conversion",NA,"plasmid2_sulf2"
"633",12,"Serine transporter YbeC, amino acid:H+ symporter family (PotE) (PDB:3LRB)","Amino acid transport and metabolism",NA,"plasmid2_sulf2"
"634",13,"Membrane integrity protein DedA, putative transporter, DedA/Tvp38 family (DedA) (PUBMED:24312110;25917916)","Cell wall/membrane/envelope biogenesis",NA,"plasmid2_sulf2"
"635",14,"Cytochrome c553 (CytC553) (PDB:6Q2U)","Energy production and conversion",NA,"plasmid2_sulf2"
"636",15,"Choline dehydrogenase or related flavoprotein (BetA) (PDB:1B4V)","Lipid transport and metabolism!!!General function prediction only","Non-phosphorylated Entner-Doudoroff pathway","plasmid2_sulf2"
"637",16,"Choline dehydrogenase or related flavoprotein (BetA) (PDB:1B4V)","Lipid transport and metabolism!!!General function prediction only","Non-phosphorylated Entner-Doudoroff pathway","plasmid2_sulf2"
"638",17,"Lipoprotein-anchoring transpeptidase ErfK/SrfK (ErfK) (PDB:4LZH)","Cell wall/membrane/envelope biogenesis",NA,"plasmid2_sulf2"
"639",19,"Magnesium uptake protein YhiD/SapB, involved in acid resistance (SapB) (PUBMED:19798051)","Inorganic ion transport and metabolism",NA,"plasmid2_sulf2"
"640",20,"Sporulation protein YlmC, YlmC/YmxH family, contains PRC-barrel domain (YlmC) (PDB:1PM3)","General function prediction only",NA,"plasmid2_sulf2"
"641",21,"Cu/Zn superoxide dismutase (SodC) (PDB:1ESO)","Inorganic ion transport and metabolism",NA,"plasmid2_sulf2"
"642",22,"Predicted Fe-S protein YdhL, DUF1289 family (YdhL)","General function prediction only",NA,"plasmid2_sulf2"
"643",23,"DNA-binding ferritin-like protein (oxidative damage protectant) (Dps) (PDB:1DPS)","Inorganic ion transport and metabolism!!!Defense mechanisms",NA,"plasmid2_sulf2"
"644",25,"Outer membrane receptor protein, Fe transport (CirA) (PDB:1BY3)","Inorganic ion transport and metabolism",NA,"plasmid2_sulf2"
"645",26,"Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf2"
"646",27,"NADPH-dependent ferric siderophore reductase, contains FAD-binding and SIP domains (ViuB) (PDB:2GPJ)","Inorganic ion transport and metabolism",NA,"plasmid2_sulf2"
"647",28,"Ca2+-binding protein, RTX toxin-related (PDB:1AF0) (PUBMED:15135544)","Secondary metabolites biosynthesis, transport and catabolism",NA,"plasmid2_sulf2"
"648",29,"DNA-binding transcriptional regulator, CsgD family (CsgD)","Transcription",NA,"plasmid2_sulf2"
"649",30,"Arylsulfatase A or related enzyme, AlkP superfamily (AslA) (PDB:1E1Z)","Inorganic ion transport and metabolism",NA,"plasmid2_sulf2"
"650",31,"Enoyl-CoA hydratase/carnithine racemase (CaiD) (PDB:1DCI)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid2_sulf2"
"651",33,"Divalent metal cation (Fe/Co/Zn/Cd) efflux pump (FieF) (PDB:2QFI)","Inorganic ion transport and metabolism",NA,"plasmid2_sulf2"
"652",34,"Multidrug efflux pump subunit AcrA (membrane-fusion protein) (AcrA) (PDB:1T5E)","Cell wall/membrane/envelope biogenesis!!!Defense mechanisms",NA,"plasmid2_sulf2"
"653",35,"Multidrug efflux pump subunit AcrB (AcrB) (PDB:1IWG)","Defense mechanisms",NA,"plasmid2_sulf2"
"654",36,"Nitroreductase (NfnB) (PDB:1F5V)","Energy production and conversion","Pyrimidine degradation","plasmid2_sulf2"
"655",37,"O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming) (MenE/FadK) (PDB:5EY9) (PUBMED:25151136;27455459)","Lipid transport and metabolism","Menaquinone biosynthesis","plasmid2_sulf2"
"656",38,"Predicted Na+-dependent transporter YfeH (YfeH) (PDB:4N7X) (PUBMED:21175741)","General function prediction only",NA,"plasmid2_sulf2"
"657",39,"Predicted oxidoreductase","General function prediction only",NA,"plasmid2_sulf2"
"658",40,"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)","Transcription",NA,"plasmid2_sulf2"
"659",41,"Uncharacterized membrane protein YadS, UPF0324 family (YeiH)","Function unknown",NA,"plasmid2_sulf2"
"660",42,"DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)","Transcription",NA,"plasmid2_sulf2"
"661",43,"Signal transduction histidine kinase (BaeS) (PDB:1JOY)!!!DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain (OmpR) (PDB:1XHF)!!!GAF domain (GAF)","Signal transduction mechanisms!!!Signal transduction mechanisms!!!Transcription!!!Signal transduction mechanisms",NA,"plasmid2_sulf2"
"662",47,"TRAP-type C4-dicarboxylate transport system, large permease component (DctQ)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf2"
"663",48,"TRAP-type C4-dicarboxylate transport system, small permease component YiaM (DctM)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf2"
"664",49,"TRAP-type C4-dicarboxylate transport system, periplasmic component (DctP) (PDB:2CEX)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf2"
"665",50,"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)","Transcription",NA,"plasmid2_sulf2"
"666",51,"Multidrug efflux pump subunit AcrB (AcrB) (PDB:1IWG)","Defense mechanisms",NA,"plasmid2_sulf2"
"667",52,"Multidrug efflux pump subunit AcrA (membrane-fusion protein) (AcrA) (PDB:1T5E)","Cell wall/membrane/envelope biogenesis!!!Defense mechanisms",NA,"plasmid2_sulf2"
"668",53,"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)","Transcription",NA,"plasmid2_sulf2"
"669",54,"N-acyl-homoserine lactone synthase LasI (autoinducer biosynthesis) (LasI) (PDB:1K4J)","Signal transduction mechanisms",NA,"plasmid2_sulf2"
"670",55,"K+-sensing histidine kinase KdpD (KdpD) (PDB:2KSF)","Signal transduction mechanisms",NA,"plasmid2_sulf2"
"671",56,"Cytochrome P450 (CypX) (PDB:3A4Z)","Secondary metabolites biosynthesis, transport and catabolism!!!Defense mechanisms","Biotin biosynthesis","plasmid2_sulf2"
"672",57,"Prophage maintenance system killer protein (Doc)","Mobilome: prophages, transposons",NA,"plasmid2_sulf2"
"673",59,"TPR repeat (TPR) (PDB:1KLX)","General function prediction only",NA,"plasmid2_sulf2"
"674",60,"Predicted Na+-dependent transporter YfeH (YfeH) (PDB:4N7X) (PUBMED:21175741)","General function prediction only",NA,"plasmid2_sulf2"
"675",61,"Gamma-glutamyltranspeptidase (Ggt) (PDB:2Z8I) (PUBMED:16618936)","Amino acid transport and metabolism",NA,"plasmid2_sulf2"
"676",62,"TctA family transporter (PUBMED:14499931)","General function prediction only",NA,"plasmid2_sulf2"
"677",64,"Tripartite-type tricarboxylate transporter, extracytoplasmic receptor component TctC (TctC) (PDB:2DVZ)","Energy production and conversion",NA,"plasmid2_sulf2"
"678",65,"DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)","Transcription",NA,"plasmid2_sulf2"
"679",66,"Na+-driven multidrug efflux pump, DinF/NorM/MATE family (NorM) (PDB:3VVN) (PUBMED:29915058)","Defense mechanisms",NA,"plasmid2_sulf2"
"680",67,"DNA-binding transcriptional regulator, HxlR family (HxlR) (PDB:1YYV)","Transcription",NA,"plasmid2_sulf2"
"681",70,"Outer membrane protein TolC (TolC) (PDB:1EK9)","Cell wall/membrane/envelope biogenesis",NA,"plasmid2_sulf2"
"682",71,"Multicopper oxidase with three cupredoxin domains (includes cell division protein FtsP and spore coat protein CotA) (SufI) (PDB:2YXV)","Cell cycle control, cell division, chromosome partitioning!!!Inorganic ion transport and metabolism!!!Cell wall/membrane/envelope biogenesis",NA,"plasmid2_sulf2"
"683",72,"Uncharacterized copper-binding protein, cupredoxin-like subfamily!!!Periplasmic Cu and Ag efflux protein CusF (CusF)","General function prediction only!!!Inorganic ion transport and metabolism",NA,"plasmid2_sulf2"
"684",73,"Cytochrome c553 (CytC553) (PDB:6Q2U)","Energy production and conversion",NA,"plasmid2_sulf2"
"685",74,"Outer membrane receptor protein, Fe transport (CirA) (PDB:1BY3)","Inorganic ion transport and metabolism",NA,"plasmid2_sulf2"
"686",75,"Putative heme degradation protein (HemS) (PDB:1U9T)","Inorganic ion transport and metabolism",NA,"plasmid2_sulf2"
"687",76,"ABC-type hemin transport system, periplasmic component (ChuT) (PDB:3MD9)","Inorganic ion transport and metabolism",NA,"plasmid2_sulf2"
"688",77,"ABC-type Fe3+-siderophore transport system, permease component (FepD) (PDB:2NQ2)","Inorganic ion transport and metabolism",NA,"plasmid2_sulf2"
"689",78,"ABC-type hemin transport system, ATPase component (PDB:4G1U)","Inorganic ion transport and metabolism",NA,"plasmid2_sulf2"
"690",79,"Two-component sensor histidine kinase, HisKA and HATPase domains (PDB:4R39)","Signal transduction mechanisms",NA,"plasmid2_sulf2"
"691",80,"Response regulator c-di-GMP phosphodiesterase, RpfG family, contains REC and HD-GYP domains (RpfG)","Signal transduction mechanisms",NA,"plasmid2_sulf2"
"692",81,"Predicted DNA modification or repair protein, contains radical SAM and helix-hairpin-helix domains","General function prediction only",NA,"plasmid2_sulf2"
"693",82,"Uracil-DNA glycosylase (Udg4) (PDB:3IKB)","Replication, recombination and repair",NA,"plasmid2_sulf2"
"694",83,"Transcriptional regulator, contains Arc/MetJ-type RHH (ribbon-helix-helix) DNA-binding domain (ParD) (PDB:3KXE)","Transcription",NA,"plasmid2_sulf2"
"695",84,"Acetyl xylan esterase AxeA and related esterases, LpqC family (LpqC) (PDB:2D80) (PUBMED:9291122)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf2"
"696",85,"Predicted choloylglycine hydrolase","General function prediction only",NA,"plasmid2_sulf2"
"697",86,"DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains (CitB) (PDB:1A04)","Signal transduction mechanisms!!!Transcription",NA,"plasmid2_sulf2"
"698",87,"Signal transduction histidine kinase ComP (ComP) (PDB:4GT8)","Signal transduction mechanisms",NA,"plasmid2_sulf2"
"699",90,"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)","Transcription",NA,"plasmid2_sulf2"
"700",92,"Enoyl-CoA hydratase/carnithine racemase (CaiD) (PDB:1DCI)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid2_sulf2"
"701",93,"Predicted alpha/beta hydrolase","General function prediction only",NA,"plasmid2_sulf2"
"702",94,"DNA-binding transcriptional regulator, MarR family (MarR) (PDB:1JGS)","Transcription",NA,"plasmid2_sulf2"
"703",95,"FMN and 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB, HAD superfamily (riboflavin biosynthesis) (YigB) (PDB:4JB3) (PUBMED:24123841)","Coenzyme transport and metabolism",NA,"plasmid2_sulf2"
"704",96,"DNA-binding transcriptional regulator, LacI/PurR family (PurR) (PDB:1BDH)","Transcription",NA,"plasmid2_sulf2"
"705",97,"TRAP-type uncharacterized transport system, periplasmic component (Imp) (PDB:1US4)","General function prediction only",NA,"plasmid2_sulf2"
"706",98,"TRAP-type uncharacterized transport system, fused permease components","General function prediction only",NA,"plasmid2_sulf2"
"707",99,"2-keto-3-deoxy-L-rhamnonate aldolase RhmA (HpcH) (PDB:1DXE)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf2"
"708",100,"Histidinol dehydrogenase (HisD) (PDB:1K75)","Amino acid transport and metabolism","Histidine biosynthesis","plasmid2_sulf2"
"709",101,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid2_sulf2"
"710",102,"Succinate dehydrogenase/fumarate reductase, flavoprotein subunit (SdhA) (PDB:1KF6)","Energy production and conversion","TCA cycle","plasmid2_sulf2"
"711",103,"2-Methylisocitrate lyase and related enzymes, PEP mutase family (PrpB) (PDB:1XG3)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf2"
"712",104,"Nicotinamidase-related amidase (PncA) (PDB:1ILW)","Coenzyme transport and metabolism!!!General function prediction only","Pyrimidine degradation","plasmid2_sulf2"
"713",105,"N-methylhydantoinase A/oxoprolinase/acetone carboxylase, beta subunit (HyuA)","Amino acid transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism",NA,"plasmid2_sulf2"
"714",106,"N-methylhydantoinase B/oxoprolinase/acetone carboxylase, alpha subunit (HyuB) (PDB:5L9W)","Amino acid transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism",NA,"plasmid2_sulf2"
"715",107,"Phenylpyruvate tautomerase PptA, 4-oxalocrotonate tautomerase family (PptA) (PDB:1BJP)!!!Limonene-1,2-epoxide hydrolase LimA/EphG (LimA) (PDB:1NU3)","Secondary metabolites biosynthesis, transport and catabolism!!!Secondary metabolites biosynthesis, transport and catabolism",NA,"plasmid2_sulf2"
"716",108,"DNA-binding transcriptional regulator, GntR family (MngR) (PDB:2WV0)","Transcription",NA,"plasmid2_sulf2"
"717",109,"Homoaconitase/3-isopropylmalate dehydratase large subunit (LeuC) (PDB:4KP1)","Amino acid transport and metabolism","Isoleucine, leucine, valine biosynthesis","plasmid2_sulf2"
"718",110,"3-isopropylmalate dehydratase small subunit (LeuD) (PDB:3Q3W)","Amino acid transport and metabolism","Isoleucine, leucine, valine biosynthesis","plasmid2_sulf2"
"719",111,"TRAP-type C4-dicarboxylate transport system, periplasmic component (DctP) (PDB:2CEX)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf2"
"720",112,"TRAP-type C4-dicarboxylate transport system, small permease component YiaM (DctM)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf2"
"721",113,"TRAP-type mannitol/chloroaromatic compound transport system, large permease component (FcbT3)","Secondary metabolites biosynthesis, transport and catabolism",NA,"plasmid2_sulf2"
"722",114,"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)","Transcription",NA,"plasmid2_sulf2"
"723",115,"Multidrug efflux pump subunit AcrA (membrane-fusion protein) (AcrA) (PDB:1T5E)","Cell wall/membrane/envelope biogenesis!!!Defense mechanisms",NA,"plasmid2_sulf2"
"724",116,"Multidrug efflux pump subunit AcrB (AcrB) (PDB:1IWG)","Defense mechanisms",NA,"plasmid2_sulf2"
"725",117,"Transposase and inactivated derivatives, IS30 family (Tra8)","Mobilome: prophages, transposons",NA,"plasmid2_sulf2"
"726",118,"Transposase","Mobilome: prophages, transposons",NA,"plasmid2_sulf2"
"727",119,"Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II (GloB) (PDB:1QH3) (PUBMED:25670698)","General function prediction only",NA,"plasmid2_sulf2"
"728",120,"Acetyl-CoA acetyltransferase (PaaJ) (PDB:1AFW)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid2_sulf2"
"729",121,"Uncharacterized OB-fold protein, contains Zn-ribbon domain (PDB:3IRB)","General function prediction only",NA,"plasmid2_sulf2"
"730",122,"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)","Transcription",NA,"plasmid2_sulf2"
"731",123,"Transposase","Mobilome: prophages, transposons",NA,"plasmid2_sulf2"
"732",124,"DNA replication protein DnaC (DnaC) (PDB:2QGZ)","Replication, recombination and repair",NA,"plasmid2_sulf2"
"733",125,"NADH dehydrogenase, FAD-containing subunit (Ndh) (PDB:5NA4)","Energy production and conversion",NA,"plasmid2_sulf2"
"734",126,"Redox-sensitive bicupin YhaK, pirin superfamily (YhaK) (PDB:1J1L) (PUBMED:18561187)","General function prediction only",NA,"plasmid2_sulf2"
"735",127,"DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)","Transcription",NA,"plasmid2_sulf2"
"736",128,"TRAP-type uncharacterized transport system, fused permease components","General function prediction only",NA,"plasmid2_sulf2"
"737",129,"Anti-sigma factor ChrR, cupin superfamily (ChrR) (PDB:2Q1Z)","Signal transduction mechanisms",NA,"plasmid2_sulf2"
"738",130,"Nicotinamidase-related amidase (PncA) (PDB:1ILW)","Coenzyme transport and metabolism!!!General function prediction only","Pyrimidine degradation","plasmid2_sulf2"
"739",131,"ABC-type guanosine uptake system NupNOPQ, ATPase component NupO (NupO) (PUBMED:21926227)","Nucleotide transport and metabolism",NA,"plasmid2_sulf2"
"740",132,"Nicotinamidase-related amidase (PncA) (PDB:1ILW)","Coenzyme transport and metabolism!!!General function prediction only","Pyrimidine degradation","plasmid2_sulf2"
"741",133,"Omega-amidase YafV/Nit2, hydrolyzes alpha-ketoglutaramate (Nit2) (PUBMED:28373563)","Energy production and conversion",NA,"plasmid2_sulf2"
"742",134,"ABC-type guanosine uptake system NupNOPQ, permease subunit NupQ (NupQ) (PUBMED:21926227)","Nucleotide transport and metabolism",NA,"plasmid2_sulf2"
